Type,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_131.vsi - GFP, TRITC - C=1:c:2/2 z:25/43 - GFP, TRITC",375.092,115.71,71,229,43401.969,5165193
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_131.vsi - GFP, TRITC - C=1:c:2/2 z:25/43 - GFP, TRITC",322.053,685.47,260,1212,220757.996,26272026
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_131.vsi - GFP, TRITC - C=1:c:2/2 z:25/43 - GFP, TRITC",185.937,526.989,303,763,97986.665,11661223
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_131.vsi - GFP, TRITC - C=1:c:2/2 z:26/43 - GFP, TRITC",105.833,1648.962,700,2227,174514.569,20768676
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_132.vsi - GFP, TRITC - C=1:c:2/2 z:25/45 - GFP, TRITC",188.659,97.918,53,209,18473.171,2198460
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_132.vsi - GFP, TRITC - C=1:c:2/2 z:25/45 - GFP, TRITC",374.26,447.729,133,727,167566.758,19941829
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_132.vsi - GFP, TRITC - C=1:c:2/2 z:25/45 - GFP, TRITC",176.643,374.123,127,559,66086.293,7864815
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_132.vsi - GFP, TRITC - C=1:c:2/2 z:25/45 - GFP, TRITC",98.363,1086.857,500,1493,106906.391,12722744
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_136.vsi - GFP, TRITC - C=1:c:2/2 z:33/55 - GFP, TRITC",228.379,82.996,52,127,18954.516,2255744
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_136.vsi - GFP, TRITC - C=1:c:2/2 z:33/55 - GFP, TRITC",292.896,689.529,237,1235,201959.991,24034908
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_136.vsi - GFP, TRITC - C=1:c:2/2 z:33/55 - GFP, TRITC",138.486,413.171,199,567,57218.43,6809466
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_136.vsi - GFP, TRITC - C=1:c:2/2 z:30/55 - GFP, TRITC",134.117,965.56,387,1439,129497.754,15411303
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_138.vsi - GFP, TRITC - C=1:c:2/2 z:30/49 - GFP, TRITC",111.849,61.523,37,91,6881.362,818939
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_138.vsi - GFP, TRITC - C=1:c:2/2 z:30/49 - GFP, TRITC",223.674,408.578,180,582,91388.006,10875928
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_138.vsi - GFP, TRITC - C=1:c:2/2 z:30/49 - GFP, TRITC",201.683,300.868,152,435,60680.097,7221433
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_138.vsi - GFP, TRITC - C=1:c:2/2 z:30/49 - GFP, TRITC",159.401,851.566,338,1206,135740.22,16154208
